Source,Link
influenza,https://medlineplus.gov/ency/article/000080.htm
gastritis,https://medlineplus.gov/ency/article/001150.htm
hypercholesterolemia,https://medlineplus.gov/ency/article/000392.htm
epilepsy,https://medlineplus.gov/epilepsy.html
insufficiency renal,https://medlineplus.gov/kidneydiseases.html
dehydration,https://medlineplus.gov/dehydration.html
hypothyroidism,https://medlineplus.gov/hypothyroidism.html
hernia hiatal,https://medlineplus.gov/ency/article/001137.htm
fibroid tumor,https://medlineplus.gov/uterinefibroids.html
deglutition disorder,https://medlineplus.gov/swallowingdisorders.html
osteoporosis,https://medlineplus.gov/osteoporosis.html
chronic alcoholic intoxication,https://medlineplus.gov/alcoholismandalcoholabuse.html
asthma,https://medlineplus.gov/asthma.html
sepsis (invertebrate),https://medlineplus.gov/sepsis.html
paranoia,http://www.mentalhealthamerica.net/conditions/paranoia-and-delusional-disorders
ileus,https://medlineplus.gov/intestinalobstruction.html
neoplasm,https://medlineplus.gov/cancer.html
obesity morbid,https://medlineplus.gov/ency/article/007297.htm
primary malignant neoplasm,https://www.cancer.gov/types/myeloproliferative/patient/chronic-treatment-pdq#section/_258
failure heart,https://medlineplus.gov/heartfailure.html
malignant neoplasm of breast,https://medlineplus.gov/breastcancer.html
tonic-clonic epilepsy,https://medlineplus.gov/ency/article/000695.htm
transient ischemic attack,https://medlineplus.gov/transientischemicattack.html
malignant neoplasm of prostate,https://medlineplus.gov/prostatecancer.html
embolism pulmonary,https://medlineplus.gov/pulmonaryembolism.html
tricuspid valve insufficiency,https://medlineplus.gov/ency/article/000169.htm
respiratory failure,https://medlineplus.gov/respiratoryfailure.html
degenerative polyarthritis,https://medlineplus.gov/osteoarthritis.html
aphasia,https://medlineplus.gov/aphasia.html
neoplasm metastasis,https://medlineplus.gov/ency/imagepages/9627.htm
malignant tumor of colon,https://medlineplus.gov/colorectalcancer.html
lymphoma,https://medlineplus.gov/lymphoma.html
anemia,https://medlineplus.gov/anemia.html
chronic obstructive airway disease,https://medlineplus.gov/ency/article/000091.htm
sickle cell anemia,https://medlineplus.gov/sicklecellanemia.html
coronary arteriosclerosis,https://medlineplus.gov/coronaryarterydisease.html
cholecystitis,https://medlineplus.gov/ency/article/000217.htm
psychotic disorder,https://medlineplus.gov/psychoticdisorders.html
thrombus,https://medlineplus.gov/deepveinthrombosis.html
chronic kidney failure,https://medlineplus.gov/ency/article/000471.htm
depressive disorder,https://medlineplus.gov/ency/article/000918.htm
